last_name, first_name,player_id,year,b_home_run,b_k_percent,batting_avg,slg_percent,on_base_percent,
Tomas, Yasmany,630111,2016,31,24.2,.272,.508,.313,
Beltran, Carlos,136860,2017,14,20.0,.231,.383,.283,
Pujols, Albert,405395,2017,23,14.6,.241,.386,.286,
Mauer, Joe,408045,2017,7,13.9,.305,.417,.384,
Cabrera, Miguel,408234,2017,16,20.8,.249,.399,.329,
Phillips, Brandon,408252,2017,13,12.1,.285,.416,.318,
Reyes, Jose,408314,2017,15,14.1,.246,.413,.312,
Choo, Shin-Soo,425783,2017,22,21.1,.261,.423,.355,
Molina, Yadier,425877,2017,18,13.6,.273,.439,.311,
Cano, Robinson,429664,2017,23,13.1,.280,.453,.338,
Encarnacion, Edwin,429665,2017,38,19.9,.258,.504,.377,
Bautista, Jose,430832,2017,23,24.8,.203,.366,.308,
Jones, Adam,430945,2017,26,17.8,.285,.466,.321,
Granderson, Curtis,434158,2017,26,23.3,.212,.452,.323,
Ramirez, Hanley,434670,2017,23,21.0,.242,.429,.320,
Morales, Kendrys,434778,2017,28,21.7,.250,.445,.308,
Kinsler, Ian,435079,2017,22,14.0,.236,.412,.313,
Cruz Jr., Nelson,443558,2017,39,21.7,.288,.549,.375,
Trumbo, Mark,444432,2017,23,24.7,.234,.397,.289,
Escobar, Alcides,444876,2017,6,16.2,.250,.357,.269,
Longoria, Evan,446334,2017,20,16.1,.261,.424,.313,
Cozart, Zack,446359,2017,24,15.4,.297,.548,.385,
Reynolds, Mark,448602,2017,30,29.5,.267,.487,.352,
Davis, Chris,448801,2017,26,37.2,.215,.423,.309,
Headley, Chase,452104,2017,12,22.5,.273,.406,.352,
Pence, Hunter,452254,2017,13,18.9,.260,.385,.315,
Span, Denard,452655,2017,12,12.7,.272,.427,.328,
Cabrera, Asdrubal,452678,2017,14,15.4,.280,.434,.350,
Blackmon, Charlie,453568,2017,37,18.6,.331,.601,.397,
Frazier, Todd,453943,2017,27,21.7,.213,.428,.344,
Markakis, Nick,455976,2017,8,16.4,.275,.384,.354,
Cain, Lorenzo,456715,2017,15,15.5,.300,.440,.363,
McCutchen, Andrew,457705,2017,28,17.8,.279,.486,.363,
Upton, Justin,457708,2017,35,28.3,.273,.540,.361,
Turner, Justin,457759,2017,21,10.3,.322,.530,.414,
Posey III, Buster,457763,2017,12,11.6,.320,.462,.400,
Bruce, Jay,457803,2017,36,22.5,.254,.508,.324,
Votto, Joey,458015,2017,36,11.7,.320,.578,.454,
Gardner, Brett,458731,2017,21,17.9,.264,.428,.348,
Joyce, Matt,459964,2017,25,20.8,.243,.473,.335,
Gordon, Alex,460086,2017,9,23.3,.208,.315,.292,
Andrus, Elvis,462101,2017,20,14.7,.297,.471,.337,
Cabrera, Melky,466320,2017,17,11.1,.285,.423,.323,
Santana, Carlos,467793,2017,23,14.1,.259,.455,.363,
Gonzalez, Carlos,471865,2017,14,22.3,.262,.423,.339,
Mercer, Jordy,474568,2017,14,15.8,.255,.406,.326,
Alonso, Yonder,475174,2017,28,22.6,.266,.501,.365,
Smoak, Justin,475253,2017,38,20.1,.270,.529,.355,
Zimmerman, Ryan,475582,2017,36,21.9,.303,.573,.358,
